year,occurrence,Total deaths,Injured,Affected,Homeless,Total affected,Total damage  ('000 US$)
1961,1,200,,,,,
1964,2,,,25000,3900,28900,
1968,3,41,,67000,6000,73000,1970
1974,1,25,,50000,18000,68000,3000
1975,1,,,16000,,16000,
1976,1,,,50000,20000,70000,
1977,4,107,,161000,6000,167000,12500
1978,3,9,,110000,6000,116000,
1979,1,,,90000,,90000,
1981,3,30,,152000,,152000,
1982,2,75,,43000,,43000,
1985,2,9,,8000,20000,28000,
1986,2,,,28223,6000,34223,
1987,1,,,,30000,30000,
1988,3,45,,53740,,53740,
1989,4,54,300,341056,,341356,1100
1990,4,233,,492000,20868,512868,280
1993,5,56,30,251513,5080,256623,3510
1994,4,280,14,143000,27000,170014,5619
1995,4,50,,104225,20000,124225,500
1996,4,43,,90100,26000,116100,
1997,8,2906,22,2125028,235604,2360654,12800
1998,5,101,,37600,2400,40000,
1999,6,48,,22255,125000,147255,2700
2000,6,105,17,183500,221800,405317,
2001,8,15,,46500,500,47000,38
2002,9,133,8,180960,100,181068,
2003,9,201,,193088,5082,198170,150000
2004,6,105,,120500,23000,143500,
2005,12,279,37,352866,3400,356303,6720
2006,20,1268,124,1709530,21500,1731154,3200
2007,10,101,13,767106,284975,1052094,71
2008,13,222,90,267533,2752,270375,
2009,5,94,,187950,,187950,
2010,6,224,,307864,200,308064,
2011,9,97,200,260767,11776,272743,
2012,5,114,,307870,20000,327870,100000
2013,8,148,20,297725,,297745,41300
2014,3,31,,130000,,130000,2000
2015,8,176,73,1372122,29000,1401195,
2016,9,195,80,638342,15933,654355,2700
2017,3,50,14,25000,,25014,
2018,5,154,44,927017,,927061,430000
2019,13,329,,1322850,,1322850,
,,,,,,,
,,,,,,,
"Created on: May 20, 2020",,,,,,,
"Source: EM-DAT: The Emergency Events Database - Universite catholique de Louvain (UCL) - CRED, D. Guha-Sapir - www.emdat.be, Brussels, Belgium",,,,,,,
